Fallecidos_s,Siniestros_s,Parque_vehicular_s
1.073168396,-1.008817593,-1.111361348
0.771250929,-1.169351658,-1.100413883
-1.089884146,-1.422685983,-1.091601612
-1.979093127,-1.509405032,-1.082055696
-1.875696734,-1.454328054,-1.068673928
-1.908783579,-1.359302961,-1.037033239
-1.346307201,-1.360044572,-0.987329529
-0.924449918,-1.266947669,-0.974943045
-0.407467952,-1.064240656,-0.850992742
0.080563023,-0.67217563,-0.807698555
-1.069204868,0.402468181,-0.775019194
-0.701113709,0.037447237,-0.77264537
-1.333899634,-0.391797223,-0.763378186
-1.999772405,-0.809868076,-0.754104429
-1.412480893,-0.586544277,-0.742271465
-1.383529903,-0.709058418,-0.736040752
-1.176737117,-0.638061523,-0.726968155
-0.279256425,-0.490184285,-0.70566093
0.225317973,-0.378349343,-0.668865012
0.287355809,-0.33439653,-0.603148672
0.69266967,-0.18439334,-0.483301121
0.940821013,-0.113445886,-0.404661212
0.949092725,-0.143159768,-0.383079857
1.478482257,0.180874808,-0.271509465
1.623237207,0.52621834,-0.174569876
1.449531267,0.260177747,-0.067737928
1.763856302,0.136378147,-0.044162061
0.506556162,-0.003934658,0.035333766
0.684397958,-0.3068086,0.024432976
0.12192158,-0.11374253,0.055754833
0.068155456,-0.266860486,0.083076491
0.705077237,-0.13257945,0.068493019
0.928413446,-0.025293056,0.136034266
0.386616346,-0.03972975,0.170903382
0.494148595,-0.113347005,0.372214977
0.465197605,0.323857413,0.481786913
1.031809839,0.492203115,0.612265067
-0.101414629,0.454776479,0.68854693
0.258404819,0.524784559,0.843976205
0.167415993,0.776339018,1.027521261
-0.039376793,0.724772331,1.23734996
0.374208779,1.29259917,1.427447192
0.403159769,1.548158328,1.628331485
0.469333461,1.619105782,1.748282245
0.589273277,2.204039115,1.886211881
-0.204811022,2.360667363,2.037252441
-0.105550485,2.085381352,2.239853171
0.349393645,2.118605526,2.384158802
